Name,Category,Glass,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Directions,isAlcoholic,Video
Thai Iced Coffee,Coffee / Tea,Highball glass,"('Coffee', 'black')","('Sugar', None)","('Cream', ' pods\n')","('Cardamom', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee.",False,
Tequila Surprise,Shot,Shot glass,"('Tequila', 'full glass ')","('Tabasco sauce', 'About 8 drops ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Fill shot glass with Tequila. Add drops of Tobasco sauce.,True,
The Jimmy Conway,Cocktail,Whiskey sour glass,"('Irish Whiskey', '50 ml')","('Amaretto', '50 ml')","('Cranberry Juice', '4 oz')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Fill glass with ice
Pour in The Irishman and Disaronno
Fill to the top with Cranberry Juice
Garnish with a slice of lemon…Enjoy!",True,
Texas Rattlesnake,Shot,Highball glass,"('Yukon Jack', '1 part ')","('Cherry brandy', '1/2 part ')","('Southern Comfort', '1 part ')","('Sweet and sour', '1 splash ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Mix all ingredients and Shake well. Sweet at first, with a BITE at the end...",True,
Tommy's Margarita,Ordinary Drink,Old-Fashioned glass,"('Tequila', '4.5 cl')","('Lime Juice', '1.5 cl')","('Agave syrup', '2 spoons')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Shake and strain into a chilled cocktail glass.,True,
The Evil Blue Thing,Cocktail,Old-fashioned glass,"('Creme de Cacao', '1 1/2 oz ')","('Blue Curacao', '1 oz ')","('Light rum', '1/2 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun"".",True,
Victor,Ordinary Drink,Cocktail glass,"('Gin', '1 1/2 oz ')","('Sweet Vermouth', '1/2 oz ')","('Brandy', '1/2 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake all ingredients with ice, strain into a cocktail glass, and serve.",True,
Vesper,Cocktail,Cocktail glass,"('Gin', '6 cl')","('Vodka', '1.5 cl')","('Lillet Blanc', '0.75 cl')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",True,
Vesuvio,Ordinary Drink,Old-fashioned glass,"('Light rum', '1 oz ')","('Sweet Vermouth', '1/2 oz ')","('Lemon', 'Juice of 1/2 ')","('Powdered sugar', '1 tsp ')","('Egg white', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",True,
Veteran,Ordinary Drink,Old-fashioned glass,"('Dark rum', '2 oz ')","('Cherry brandy', '1/2 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.,True,
Vampiro,Ordinary Drink,Old-Fashioned glass,"('Tequila', '6 cl')","('Tomato Juice', '3 cl')","('Orange Juice', '3 cl')","('Lime Juice', '1.5 cl')","('Sugar Syrup', '1 dash')","('Salt', '1 pinch')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.",True,
Van Vleet,Ordinary Drink,Old-fashioned glass,"('Light rum', '3 oz ')","('Maple syrup', '1 oz ')","('Lemon juice', '1 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",True,
Vodka Fizz,Other/Unknown,White wine glass,"('Vodka', '2 oz ')","('Half-and-half', '2 oz ')","('Limeade', '2 oz ')","('Ice', None)","('Nutmeg', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.",True,
Vodka Martini,Ordinary Drink,Cocktail glass,"('Vodka', '1 1/2 oz ')","('Dry Vermouth', '3/4 oz ')","('Olive', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",True,
Vodka Russian,Ordinary Drink,Collins Glass,"('Vodka', '2 oz ')","('Schweppes Russchian', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Mix it as a ordinary drink .,True,
Vermouth Cassis,Ordinary Drink,Highball glass,"('Dry Vermouth', '1 1/2 oz ')","('Creme de Cassis', '3/4 oz ')","('Carbonated water', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve.",True,
